username,user_id,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
hashMoreChat,3323388204,2018-02-07 15:48,0,0,"No, Facebook Isn't Limiting Your News Feed Updates to 26 Friends - Fortune http:// ift.tt/2E8I3rL #Facebook #SocialMedia",,,#Facebook #SocialMedia,961356026741166080,https://twitter.com/hashMoreChat/status/961356026741166080
rickallen1204,400985043,2018-02-08 02:03,0,0,"No, Facebook is not limiting your news feed to 26 friends, and saying ""Hi"" won't change anything. MindaZetlin http:// on.inc.com/2nKiQOu",,,,961510807019380736,https://twitter.com/rickallen1204/status/961510807019380736
Algocracy,764531097241726976,2018-02-07 14:32,0,0,"Despite rumors, Facebook says it's not limiting your feed to 26 friends http:// ift.tt/2EaUrMg",,,,961336914229030917,https://twitter.com/Algocracy/status/961336914229030917
Geoffdx,150586604,2018-02-13 19:03,0,0,"No, Facebook won't limit your News Feed to 20 or so friends. And no, you can't ""trick"" the algorithm by commenting on a friend's post. https:// buff.ly/2Em8eLR via @WeRSM",,@WeRSM,,963579324736647168,https://twitter.com/Geoffdx/status/963579324736647168
ZucksArmy,815247619178033153,2018-02-07 13:09,0,0,"No, Facebook Isn’t Limiting Your News Feed Updates to 26 Friends http:// ift.tt/2C2BXHT",,,,961315973990109185,https://twitter.com/ZucksArmy/status/961315973990109185
FrugalDietitian,422647125,2018-02-15 08:33,0,0,"Does a New Facebook Algorithm Only Show You 26 Friends? Facebook hasn't limited your feed to only a certain number of people, and sharing a post saying otherwise won't make any difference. https://www. snopes.com/new-facebook-a lgorithm-26-friends/ …",,,,964145720797351937,https://twitter.com/FrugalDietitian/status/964145720797351937
CreativeOil,14261841,2018-02-13 05:20,0,1,"No, Facebook won't limit your News Feed to 20 or so friends. And no, you can't ""trick"" the algorithm by commenting on a friend's post. https:// wersm.com/theres-new-hoa x-making-rounds-facebook/ … via @WeRSM",,@WeRSM,,963372320793550848,https://twitter.com/CreativeOil/status/963372320793550848
dianagpierce,4826034689,2018-02-08 22:32,0,1,SO... Facebook limiting your feed to 26 people? Nope. Not true. No matter how many times it's circulated. Snopes... https:// fb.me/2Fsw9q5zc,,,,961820192283049986,https://twitter.com/dianagpierce/status/961820192283049986
215Today,4454192249,2018-02-07 07:55,0,0,"Despite rumors, Facebook says it’s not limiting your feed to 26 friends https:// phl.today/49124/despite- rumors-facebook-says-its-not-limiting-your-feed-to-26-friends/ … pic.twitter.com/fmRGopwNBz",,,,961237014296367105,https://twitter.com/215Today/status/961237014296367105
TheWarehouseStu,4824033167,2018-02-14 12:18,0,0,"No, Facebook Does Not Have Algorithm Limiting Your Feed to 26 Friends https:// fb.me/t721kQZ7",,,,963839779266879489,https://twitter.com/TheWarehouseStu/status/963839779266879489
RelevanceSEO,872476919794716672,2018-02-13 14:25,0,0,"Despite what you've heard on Facebook , the social network isn't going to limit status updates in your news feed ... https:// fb.me/HFDybgOD",,,,963509358616133632,https://twitter.com/RelevanceSEO/status/963509358616133632
SocialInChicago,459586511,2018-02-07 08:11,0,0,"Despite rumors, Facebook says it's not limiting your feed to 26 friends http:// dld.bz/gA9hY",,,,961240963686559744,https://twitter.com/SocialInChicago/status/961240963686559744
Reneerbo,98505044,2018-02-18 02:01,0,0,"No, Facebook won't limit your News Feed to 20 or so friends. And no, you can't ""trick"" the algorithm by commenting on a friend's post. https:// buff.ly/2odZCzY",,,,965134088008028166,https://twitter.com/Reneerbo/status/965134088008028166
realizetoday,842103497541746693,2018-02-07 12:46,0,0,"No, #Facebook Isn’t Limiting Your News Feed Updates to #26 _Friends http:// dlvr.it/QFQtNt #tech",,,#Facebook #26 #tech,961310138148597760,https://twitter.com/realizetoday/status/961310138148597760
uvkewate,313962428,2018-02-08 00:57,0,0,"No, #Facebook is not limiting your news feed to 26 friends, and saying ""Hi"" won't change anything. Via @MindaZetlin and @Inc http:// on.inc.com/2nKiQOu",,@MindaZetlin @Inc,#Facebook,961494291435499520,https://twitter.com/uvkewate/status/961494291435499520
CRC_Digital,2364614431,2018-02-11 13:11,0,0,"No, Facebook is not limiting your feed to 26 friends http:// fox2now.com/2018/02/08/no- facebook-is-not-limiting-your-feed-to-26-friends/ … pic.twitter.com/ZjR79Xrglp",,,,962766041574146049,https://twitter.com/CRC_Digital/status/962766041574146049
